App,Category,Rating,Reviews,Size,Installs,Type,Price ($),Content Rating,Genres,Last Updated
DZ,FAMILY,4.2,238,6.8M,10000,Free,0,Everyone,Education,18-Nov-16
DYPSOET,FAMILY,5,8,7.4M,50,Free,0,Everyone,Education,07-Aug-18
AIwithPythonTutorial,FAMILY,4.4,8,3.3M,5000,Free,0,Everyone,Education,05-Jun-18
APPhysicsPrepPracticeTestsandFlashcards,FAMILY,4.4,29,5.3M,5000,Free,0,Everyone,Education,03-Jul-18
APStatisticsPrepPracticeTestsandFlashcards,FAMILY,4.2,19,5.4M,5000,Free,0,Everyone,Education,03-Jul-18
APPsychologyPrepPracticeTestsandFlashcards,FAMILY,4.5,242,5.4M,50000,Free,0,Everyone,Education,03-Jul-18
APBiologyStudyGuideQuiz,FAMILY,4.4,105,9.0M,10000,Free,0,Everyone,Education,22-Mar-16
APEuropeanHistoryPracticeTestsandFlashcards,FAMILY,4.7,7,5.4M,1000,Free,0,Everyone,Education,03-Jul-18
APBiologyPrepPracticeTestsFlashcards,FAMILY,4.6,87,5.4M,10000,Free,0,Everyone,Education,03-Jul-18
APWorldHistoryPracticeTestsandFlashcards,FAMILY,4.8,21,5.4M,5000,Free,0,Everyone,Education,03-Jul-18
APChemistryPrepPracticeTestsandFlashcards,FAMILY,4.7,55,5.4M,10000,Free,0,Everyone,Education,03-Jul-18
AQRiaRetail,FAMILY,5,4,52M,50,Free,0,Everyone,Education,03-Apr-18
APEnglishLanguagePracticeTestsandFlashcards,FAMILY,4.5,19,5.4M,5000,Free,0,Everyone,Education,03-Jul-18
LearnArtificialIntelligence,FAMILY,4.6,27,4.2M,10000,Free,0,Everyone,Education,14-Jul-18
ComptiaA,FAMILY,4.4,174,5.7M,10000,Free,0,Everyone,Education,19-Apr-18
AllCPrograms,FAMILY,4.7,2387,6.9M,100000,Free,0,Everyone,Education,09-Jun-18
CProwess,FAMILY,4.8,306,3.3M,5000,Free,0,Everyone,Education,03-Jun-17
LearnCNetCSharpProgrammingTutorialApp,FAMILY,4,1320,8.6M,100000,Free,0,Everyone,Education,03-Jun-18
LearnCProgrammingExamplesOFFLINE,FAMILY,4.3,43,3.7M,10000,Free,0,Everyone,Education,16-Dec-17
UniversityofAlabama,FAMILY,4.5,302,3.0M,50000,Free,0,Everyone,Education,30-Nov-17
DataCampLearnRPythonSQL,FAMILY,4.4,944,12M,100000,Free,0,Everyone,Education,01-Aug-18
AVBuddyFree,FAMILY,4.1,25,47M,5000,Free,0,Everyone,Education,08-Mar-17
AVHighSchoolDistrict,FAMILY,3.5,91,25M,10000,Free,0,Everyone,Education,05-Apr-18
