App,Category,Rating,Reviews,Size,Installs,Type,Price ($),Content Rating,Genres,Last Updated,Current Ver,Android Ver
DZ,FAMILY,4.2,238,6.8M,10000,Free,0,Everyone,Education,18/11/2016,6.0.0.0,4.1 and up
DYPSOET,FAMILY,5,8,7.4M,50,Free,0,Everyone,Education,07/08/2018,1.0.2,4.1 and up
AIwithPythonTutorial,FAMILY,4.4,8,3.3M,5000,Free,0,Everyone,Education,05/06/2018,1.0.4,4.1 and up
APPhysicsPrepPracticeTestsandFlashcards,FAMILY,4.4,29,5.3M,5000,Free,0,Everyone,Education,03/07/2018,1.6.7.1,4.1 and up
APStatisticsPrepPracticeTestsandFlashcards,FAMILY,4.2,19,5.4M,5000,Free,0,Everyone,Education,03/07/2018,1.6.7.1,4.1 and up
APPsychologyPrepPracticeTestsandFlashcards,FAMILY,4.5,242,5.4M,50000,Free,0,Everyone,Education,03/07/2018,1.6.7.1,4.1 and up
APBiologyStudyGuideQuiz,FAMILY,4.4,105,9.0M,10000,Free,0,Everyone,Education,22/03/2016,1.5.1,4.1 and up
APEuropeanHistoryPracticeTestsandFlashcards,FAMILY,4.7,7,5.4M,1000,Free,0,Everyone,Education,03/07/2018,1.6.7.1,4.1 and up
APBiologyPrepPracticeTestsFlashcards,FAMILY,4.6,87,5.4M,10000,Free,0,Everyone,Education,03/07/2018,1.6.7.1,4.1 and up
APWorldHistoryPracticeTestsandFlashcards,FAMILY,4.8,21,5.4M,5000,Free,0,Everyone,Education,03/07/2018,1.6.7.1,4.1 and up
APChemistryPrepPracticeTestsandFlashcards,FAMILY,4.7,55,5.4M,10000,Free,0,Everyone,Education,03/07/2018,1.6.7.1,4.1 and up
AQRiaRetail,FAMILY,5,4,52M,50,Free,0,Everyone,Education,03/04/2018,1.1,4.1 and up
APEnglishLanguagePracticeTestsandFlashcards,FAMILY,4.5,19,5.4M,5000,Free,0,Everyone,Education,03/07/2018,1.6.7.1,4.1 and up
LearnArtificialIntelligence,FAMILY,4.6,27,4.2M,10000,Free,0,Everyone,Education,14/07/2018,1.1.4,4.1 and up
ComptiaA,FAMILY,4.4,174,5.7M,10000,Free,0,Everyone,Education,19/04/2018,2.0.7,4.1 and up
AllCPrograms,FAMILY,4.7,2387,6.9M,100000,Free,0,Everyone,Education,09/06/2018,2.5.1,4.1 and up
CProwess,FAMILY,4.8,306,3.3M,5000,Free,0,Everyone,Education,03/06/2017,1.2,4.1 and up
LearnCNetCSharpProgrammingTutorialApp,FAMILY,4,1320,8.6M,100000,Free,0,Everyone,Education,03/06/2018,4.1.0,4.1 and up
LearnCProgrammingExamplesOFFLINE,FAMILY,4.3,43,3.7M,10000,Free,0,Everyone,Education,16/12/2017,1.0.3,4.1 and up
UniversityofAlabama,FAMILY,4.5,302,3.0M,50000,Free,0,Everyone,Education,30/11/2017,3.3,4.1 and up
DataCampLearnRPythonSQL,FAMILY,4.4,944,12M,100000,Free,0,Everyone,Education,01/08/2018,3.1.0,4.1 and up
AVBuddyFree,FAMILY,4.1,25,47M,5000,Free,0,Everyone,Education,08/03/2017,1.2,4.1 and up
AVHighSchoolDistrict,FAMILY,3.5,91,25M,10000,Free,0,Everyone,Education,05/04/2018,5.2.002,4.1 and up
GFBFChatStoriesHindiEnglishConvesation,FAMILY,4.1,32,4.1M,10000,Free,0,Everyone,Education,18/06/2018,1.5,4.1 and up
PermitTestAZArizonaMVDDOT,FAMILY,4.6,227,11M,10000,Free,0,Everyone,Education,12/10/2017,2.9.0,4.1 and up
STUCORAU,FAMILY,4.5,1827,12M,100000,Free,0,Everyone,Education,05/06/2018,1.3,4.1 and up
LearnersTestFreeAUDriverKnowledgeTestDKT,FAMILY,3.9,623,8.5M,100000,Free,0,Everyone,Education,26/03/2018,3.5,4.1 and up
